"u(x,t)",x,t
1.2246467991473532e-16,-1.0,0.0
0.12787716168450605,-0.9591836734693877,0.0
0.25365458390950735,-0.9183673469387755,0.0
0.3752670048793745,-0.8775510204081632,0.0
0.49071755200393774,-0.8367346938775511,0.0
0.5981105304912161,-0.7959183673469388,0.0
0.6956825506034865,-0.7551020408163265,0.0
0.7818314824680299,-0.7142857142857143,0.0
0.8551427630053462,-0.6734693877551021,0.0
0.9144126230158125,-0.6326530612244898,0.0
0.9586678530366607,-0.5918367346938775,0.0
0.9871817834144501,-0.5510204081632654,0.0
0.9994862162006879,-0.5102040816326531,0.0
0.9953791129491982,-0.4693877551020409,0.0
0.9749279121818236,-0.4285714285714286,0.0
0.9384684220497604,-0.3877551020408164,0.0
0.8865993063730001,-0.34693877551020413,0.0
0.8201722545969559,-0.30612244897959184,0.0
0.7402779970753157,-0.26530612244897966,0.0
0.6482283953077884,-0.22448979591836737,0.0
0.5455349012105488,-0.1836734693877552,0.0
0.43388373911755823,-0.1428571428571429,0.0
0.315108218023621,-0.10204081632653073,0.0
0.1911586287013725,-0.061224489795918435,0.0
0.06407021998071298,-0.020408163265306145,0.0
-0.06407021998071298,0.020408163265306145,0.0
-0.19115862870137182,0.06122448979591821,0.0
-0.3151082180236204,0.1020408163265305,0.0
-0.4338837391175579,0.1428571428571428,0.0
-0.5455349012105486,0.18367346938775508,0.0
-0.648228395307788,0.22448979591836715,0.0
-0.7402779970753152,0.26530612244897944,0.0
-0.8201722545969556,0.30612244897959173,0.0
-0.886599306373,0.346938775510204,0.0
-0.9384684220497604,0.3877551020408163,0.0
-0.9749279121818234,0.4285714285714284,0.0
-0.9953791129491981,0.46938775510204067,0.0
-0.9994862162006879,0.510204081632653,0.0
-0.9871817834144502,0.5510204081632653,0.0
-0.9586678530366608,0.5918367346938773,0.0
-0.9144126230158127,0.6326530612244896,0.0
-0.8551427630053464,0.6734693877551019,0.0
-0.7818314824680301,0.7142857142857142,0.0
-0.6956825506034865,0.7551020408163265,0.0
-0.5981105304912165,0.7959183673469385,0.0
-0.4907175520039385,0.8367346938775508,0.0
-0.3752670048793745,0.8775510204081631,0.0
-0.2536545839095078,0.9183673469387754,0.0
-0.12787716168450605,0.9591836734693877,0.0
-1.2246467991473532e-16,1.0,0.0
-1.2246467991473532e-16,1.0,0.0
-1.104094292958157e-16,1.0,0.004081632653061225
-1.1608329188142412e-16,1.0,0.00816326530612245
1.182680803793341e-16,-1.0,0.012244897959183675
1.1811809659872874e-16,-1.0,0.0163265306122449
1.1395168121182165e-16,-1.0,0.020408163265306124
-1.1319268349598137e-16,1.0,0.02448979591836735
-1.1226667453107305e-16,1.0,0.028571428571428574
-1.2027976385164975e-16,1.0,0.0326530612244898
1.103199704991528e-16,-1.0,0.036734693877551024
-1.0920594377556296e-16,1.0,0.04081632653061225
1.0767558663765549e-16,-1.0,0.04489795918367347
-1.0771519339244921e-16,1.0,0.0489795918367347
1.0676518828868832e-16,-1.0,0.05306122448979592
-1.0516463805515282e-16,1.0,0.05714285714285715
1.0458446631103828e-16,-1.0,0.06122448979591837
1.0284176858670139e-16,-1.0,0.0653061224489796
1.0200396444882457e-16,-1.0,0.06938775510204082
1.0164241523781447e-16,-1.0,0.07346938775510205
-9.997959760870152e-17,1.0,0.07755102040816328
9.896732454822603e-17,-1.0,0.0816326530612245
9.822938802318306e-17,-1.0,0.08571428571428572
9.735292552864043e-17,-1.0,0.08979591836734695
-9.640829230177297e-17,1.0,0.09387755102040818
9.554125645263793e-17,-1.0,0.0979591836734694
9.481556419415901e-17,-1.0,0.10204081632653061
-9.37935818877731e-17,1.0,0.10612244897959185
-9.048319809164653e-17,1.0,0.11020408163265308
9.228126226467288e-17,-1.0,0.1142857142857143
9.141559630247922e-17,-1.0,0.11836734693877551
-8.764397088999268e-17,1.0,0.12244897959183675
-8.700571100110037e-17,1.0,0.12653061224489798
-8.905696130131632e-17,1.0,0.1306122448979592
8.527963947594644e-17,-1.0,0.1346938775510204
8.449946398398747e-17,-1.0,0.13877551020408163
-8.372280981623223e-17,1.0,0.14285714285714288
8.298378829668887e-17,-1.0,0.1469387755102041
-8.212959615205252e-17,1.0,0.1510204081632653
-8.486911316323987e-17,1.0,0.15510204081632656
8.061915203848985e-17,-1.0,0.15918367346938778
-7.978725287952528e-17,1.0,0.163265306122449
7.910355126202417e-17,-1.0,0.1673469387755102
8.233476739324735e-17,-1.0,0.17142857142857143
-7.747550969523431e-17,1.0,0.17551020408163268
7.868808917146684e-17,-1.0,0.1795918367346939
-7.537170885658834e-17,1.0,0.1836734693877551
-7.669972809588214e-17,1.0,0.18775510204081636
-7.924261959035844e-17,1.0,0.19183673469387758
7.342931559955049e-17,-1.0,0.1959183673469388
-7.292839465059056e-17,1.0,0.2
